Oman;OMN;OMN;21;57;4424762;;;;;;;
Pakistan;PAK;PAK;30;70;193203476;;;;;;;
Palau;PLW;PLW;7.5;134.5;21503;;;;;;;
Panama;PAN;PAN;9;-80;4034119;;;;;;;
Papua New Guinea;PNG;PNG;-6;147;8084991;;;;;;;
Paraguay;PRY;PRY;-23;-58;6725308;;;;;;;
Peru;PER;PER;-10;-76;31773839;;;;;;;
Philippines;PHL;PHL;13;122;103320222;;;;;;;
Poland;POL;POL;52;20;37948016;;;;;;;
Portugal;PRT;PRT;39.5;-8;10324611;;;;;;;
Puerto Rico;PRI;PRI;18.25;-66.5;3411307;;;;;;;
Qatar;QAT;QAT;25.5;51.25;2569804;;;;;;;
Romania;ROU;ROU;46;25;19705301;;;;;;;
Russian Federation;RUS;RUS;60;100;144342396;;;;;;;
Rwanda;RWA;RWA;-2;30;11917508;;;;;;;
Samoa;WSM;WSM;-13.5833;-172.3333;195125;;;;;;;
San Marino;SMR;SMR;43.7667;12.4167;33203;;;;;;;
Sao Tome and Principe;STP;STP;1;7;199910;;;;;;;
Saudi Arabia;SAU;SAU;25;45;32275687;;;;;;;
Senegal;SEN;SEN;14;-14;15411614;;;;;;;
Serbia;SRB;SRB;44;21;7057412;;;;;;;
Seychelles;SYC;SYC;-4.5833;55.6667;94677;;;;;;;
Sierra Leone;SLE;SLE;8.5;-11.5;7396190;;;;;;;
Singapore;SGP;SGP;1.3667;103.8;5607283;;;;;;;
Slovak Republic;SVK;SVK;48.6667;19.5;5428704;;;;;;;
Slovenia;SVN;SVN;46;15;2064845;;;;;;;
Solomon Islands;SLB;SLB;-8;159;599419;;;;;;;
Somalia;SOM;SOM;10;49;14317996;;;;;;;
South Africa;ZAF;ZAF;-29;24;55908865;;;;;;;
Spain;ESP;ESP;40;-4;46443959;;;;;;;
Sri Lanka;LKA;LKA;7;81;21203000;;;;;;;
Sudan;SDN;SDN;15;30;39578828;;;;;;;
Suriname;SUR;SUR;4;-56;558368;;;;;;;
Swaziland;SWZ;SWZ;-26.5;31.5;1343098;;;;;;;
Sweden;SWE;SWE;62;15;9903122;;;;;;;
Switzerland;CHE;CHE;47;8;8372098;;;;;;;
Syrian Arab Republic;SYR;SYR;35;38;18430453;;;;;;;
Tajikistan;TJK;TJK;39;71;8734951;;;;;;;
Tanzania;TZA;TZA;-6;35;55572201;;;;;;;
Thailand;THA;THA;15;100;68863514;;;;;;;
Timor-Leste;TLS;TLS;-8.55;125.5167;1268671;;;;;;;
Togo;TGO;TGO;8;1.1667;7606374;;;;;;;
Tonga;TON;TON;-20;-175;107122;;;;;;;
Trinidad and Tobago;TTO;TTO;11;-61;1364962;;;;;;;
Tunisia;TUN;TUN;34;9;11403248;;;;;;;
Turkey;TUR;TUR;39;35;79512426;;;;;;;
Turkmenistan;TKM;TKM;40;60;5662544;;;;;;;
Turks and Caicos Islands;TCA;TCA;21.75;-71.5833;34900;;;;;;;
Tuvalu;TUV;TUV;-8;178;11097;;;;;;;
Uganda;UGA;UGA;1;32;41487965;;;;;;;
Ukraine;UKR;UKR;49;32;45004645;;;;;;;
United Arab Emirates;ARE;ARE;24;54;9269612;;;;;;;
United Kingdom;GBR;GBR;54;-2;65637239;;;;;;;
United States;USA;USA;38;-97;323127513;;;;;;;
Uruguay;URY;URY;-33;-56;3444006;;;;;;;
Uzbekistan;UZB;UZB;41;64;31848200;;;;;;;
Vanuatu;VUT;VUT;-16;167;270402;;;;;;;
Venezuela, RB;VEN;VEN;8;-66;31568179;;;;;;;
Vietnam;VNM;VNM;16;106;92701100;;;;;;;
Virgin Islands (U.S.);VIR;VIR;18.3333;-64.8333;102951;;;;;;;
Yemen, Rep.;YEM;YEM;15;48;27584213;;;;;;;
Zambia;ZMB;ZMB;-15;30;16591390;;;;;;;
Zimbabwe;ZWE;ZWE;-20;30;16150362;;;;;;;
